energy,theta,cx
4.894,20,0.357
5,30,0.567
5,40,0.44
5,50,0.357
5,60,0.276
5,70,0.202
5,80,0.153
5,90,0.107
5,100,0.083
5,110,0.066
5,120,0.066
5,130,0.074
5,140,0.087
5,150,0.109
5,160,0.115
5,168,0.128
5.0037,20,0.3173
5.011,25.1,0.613
5.011,25.58,0.581
5.011,30.89,0.512
5.011,35.07,0.454
5.011,40.07,0.413
5.011,44.98,0.37
5.011,49.03,0.341
5.011,54.7,0.298
5.011,60,0.262
5.011,70.1,0.197
5.011,80,0.146
5.011,81.93,0.133
5.011,90,0.104
5.011,90.9,0.102
5.011,100.33,0.0769
5.011,106.9,0.0677
5.011,107.2,0.0675
5.011,109.9,0.0653
5.011,115.3,0.0632
5.011,120.6,0.0655
5.011,122.8,0.0666
5.011,130.9,0.0749
5.011,140.8,0.0896
5.011,145,0.0962
5.011,149.4,0.105
5.011,154.9,0.113
5.011,160,0.119
5.011,164.4,0.126
5.1,60,0.0955
5.1,90,0.0982
5.1,120,0.0955
5.1042,20,0.3003
5.1956,20,0.34
6.016,25.1,0.535
6.016,25.58,0.53
6.016,30.89,0.467
6.016,35.07,0.405
6.016,40.07,0.375
6.016,44.98,0.336
6.016,49.03,0.306
6.016,54.7,0.269
6.016,60,0.235
6.016,64.2,0.208
6.016,70.1,0.175
6.016,80,0.126
6.016,81.93,0.118
6.016,90,0.0865
6.016,90.9,0.0842
6.016,100,0.0625
6.016,100.33,0.0625
6.016,107.2,0.0528
6.016,109.9,0.0514
6.016,115.3,0.0498
6.016,120.6,0.0506
6.016,130.9,0.0614
6.016,140.8,0.0753
6.016,145,0.084
6.016,149.4,0.09
6.016,154.9,0.099
6.016,160,0.107
6.016,164.4,0.113
6.977,25.1,0.484
6.977,25.58,0.486
6.977,30.89,0.425
6.977,35.07,0.383
6.977,40.07,0.347
6.977,44.98,0.315
6.977,49.03,0.291
6.977,54.7,0.25
6.977,60,0.22
6.977,64.2,0.193
6.977,70.1,0.16
6.977,80,0.111
6.977,81.93,0.103
6.977,90,0.0753
6.977,90.9,0.0725
6.977,100,0.0526
6.977,100.33,0.0509
6.977,106.9,0.0413
6.977,107.2,0.0424
6.977,109.9,0.0403
6.977,120.6,0.042
6.977,122.8,0.0431
6.977,130.9,0.0531
6.977,140.8,0.0682
6.977,149.4,0.081
6.977,154.9,0.0911
6.977,160,0.1
6.977,164.4,0.106
7.967,25.1,0.443
7.967,25.58,0.443
7.967,30.89,0.398
7.967,35.07,0.354
7.967,49.03,0.266
7.967,54.7,0.234
7.967,60,0.203
7.967,70.1,0.145
7.967,80,0.0999
7.967,90,0.0647
7.967,94.07,0.53
7.967,100,0.0413
7.967,106.9,0.0336
7.967,109.9,0.0317
7.967,120.6,0.0345
7.967,122.8,0.0345
7.967,130.13,0.044
7.967,134.87,0.048
7.967,140.8,0.0601
7.967,145,0.0668
7.967,149.4,0.0748
7.967,154.9,0.0834
7.967,160,0.0916
7.967,164.4,0.0979
8.96,25.1,0.406
8.96,25.58,0.401
8.96,30.89,0.364
8.96,35.89,0.329
8.96,49.03,0.246
8.96,54.7,0.219
8.96,60,0.188
8.96,70.1,0.136
8.96,80,0.0916
8.96,89.72,0.0567
8.96,90,0.0541
8.96,94.07,0.0445
8.96,100,0.0346
8.96,106.9,0.0262
8.96,109.9,0.025
8.96,120.6,0.0274
8.96,122.8,0.029
8.96,130.13,0.0368
8.96,130.9,0.385
8.96,134.87,0.0419
8.96,140.8,0.0527
8.96,145,0.0594
8.96,149.4,0.0677
8.96,154.9,0.0766
8.96,160,0.085
8.96,164.4,0.0923
9.48,12.2,1.1415
9.48,12.8,0.9947
9.48,15.3,0.6596
9.48,15.9,0.6294
9.48,18.4,0.5336
9.48,19,0.5086
9.48,21.5,0.4754
9.48,25.2,0.4126
9.48,27.7,0.378
9.48,31.3,0.358
9.48,33.9,0.3382
9.48,37.4,0.3076
9.48,40,0.3099
9.48,43.5,0.2804
9.48,49.5,0.2392
9.48,52,0.2322
9.48,61.3,0.1719
9.48,63.7,0.1668
9.48,72.7,0.1195
9.48,80.6,0.0822
9.48,83.8,0.0715
9.48,86.1,0.0653
9.48,94.5,0.0431
9.48,99.6,0.0322
9.48,104.7,0.0278
9.48,106.8,0.0251
9.48,111.7,0.02302
9.48,114.4,0.022
9.48,116.4,0.02302
9.48,123.8,0.0273
9.48,128.3,0.0333
9.48,132.7,0.0392
9.48,134.5,0.0423
9.48,141.2,0.0527
9.48,145.4,0.0562
9.48,149.4,0.0669
9.48,151.1,0.0686
9.48,157.3,0.0802
9.48,159,0.0809
9.48,165,0.0854
9.48,166.7,0.0867
9.48,172.6,0.922
9.48,174.2,0.0967
9.954,25.1,0.371
9.954,30.89,0.339
9.954,35.07,0.305
9.954,49.03,0.232
9.954,54.7,0.205
9.954,60,0.176
9.954,70.1,0.124
9.954,80,0.082
9.954,90,0.0492
9.954,94.07,0.0391
9.954,102.17,0.0262
9.954,106.9,0.022
9.954,109.9,0.021
9.954,120.6,0.023
9.954,122.8,0.0245
9.954,130.13,0.0319
9.954,130.9,0.0332
9.954,134.87,0.0378
9.954,140.8,0.0473
9.954,145,0.054
9.954,149.4,0.0616
9.954,154.9,0.0704
9.954,160,0.0784
9.954,164.4,0.0849
11.157,25.1,0.34
11.157,25.58,0.337
11.157,30.89,0.318
11.157,35.07,0.299
11.157,49.03,0.226
11.157,54.7,0.196
11.157,60,0.17
11.157,70.1,0.123
11.157,80,0.0732
11.157,89.72,0.045
11.157,90,0.0435
11.157,94.07,0.0346
11.157,100,0.0249
11.157,106.9,0.0184
11.157,109.9,0.0168
11.157,120.6,0.0185
11.157,122.8,0.0211
11.157,130.9,0.0286
11.157,134.87,0.0334
11.157,140.8,0.0424
11.157,145,0.0471
11.157,149.4,0.0568
11.157,154.9,0.0644
11.157,160,0.0706
11.157,164.4,0.0751
12.04,18.76,0.353
12.04,24.98,0.3118
12.04,31.16,0.2807
12.04,37.29,0.2552
12.04,43.37,0.2285
12.04,49.39,0.1976
12.04,55.34,0.1712
12.04,61.21,0.1442
12.04,67,0.1177
12.04,78.29,0.07342
12.04,89.18,0.04222
12.04,99.63,0.02266
12.04,109.62,0.01401
12.04,119.17,0.01515
12.04,128.27,0.02248
12.04,136.97,0.0336
12.04,145.31,0.04423
12.04,153.35,0.056
12.04,161.14,0.06559
12.04,168.75,0.0726
13.6,25.5,0.2717
13.6,49.35,0.1819
13.6,61.22,0.1285
13.6,83.8,0.0499
14.32,24.71,0.2632
14.32,55.36,0.1475
14.32,72.71,0.08027
14.32,89.2,0.03452
14.32,119.19,0.0114
14.32,153.36,0.04627
14.32,168.76,0.06107
